"Time, min.","Thrust, lbf","VTAS, fps","Altitude, ft",Total Aircraft CD,Total Aircraft CL,Profile Drag,Induced Drag,Wave Drag
175,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
176,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
177,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
178,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
179,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
180,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
181,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
182,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
183,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
184,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
185,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
186,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
187,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
188,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
189,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
190,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
191,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
192,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
193,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
194,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
195,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
196,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
197,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
198,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
199,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
200,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
